PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
51.22,70.22,11.86,16,35.75,11.39,12.09,0.74,27.58,0.41,1.42,1.65,0.87,89.25,None,None,29.76,772.82
50.9,69.9,11.66,16.04,36.04,11.29,12.76,0.73,27.46,0.41,1.45,1.67,0.86,89.25,None,None,30.92,773.95
49.77,68.77,12.14,15.76,36.53,11.26,11.18,0.74,26.96,0.4,1.45,1.64,0.9,89.25,None,None,35.13,774.42
48.72,67.72,11.72,16.24,37.28,11.38,7.62,0.74,27.89,0.41,1.44,1.65,0.91,89.25,None,None,28.11,774.65
50.69,69.69,12.23,16.25,35.68,11.27,9.66,0.74,27.07,0.41,1.43,1.62,0.9,89.25,None,None,31.94,774.75
51.87,70.87,11.65,16.1,36.63,11.17,7.22,0.72,27.39,0.41,1.43,1.61,0.9,89.25,None,None,27.84,774.62
49.89,68.88,12.11,15.94,36.51,11.15,5.86,0.74,27.45,0.42,1.49,1.66,0.88,89.25,None,None,43.58,774.73
54.91,73.91,12.08,15.38,36.04,11.45,6.12,0.72,27.41,0.41,1.43,1.65,0.85,89.25,None,None,66.82,774.77
61.83,80.83,12.19,16.24,36.54,11.1,11.43,0.72,27.05,0.41,1.42,1.69,0.86,78.85,None,None,122.22,774.72
55.98,74.98,11.85,15.72,36.59,11.4,11.5,0.75,27.41,0.41,1.46,1.68,0.86,60.8,None,None,284.69,774.7
51.48,70.48,11.77,16.09,36.23,11.31,10.75,0.74,29.31,0.41,1.48,1.67,0.89,49.92,None,None,459.54,774.78
51.4,70.4,12.16,16.03,36.17,11.31,8.89,0.73,27.38,0.4,1.44,1.65,0.89,44.16,None,None,420.82,774.77
44.76,63.76,12.06,15.99,36.76,11.35,12.71,0.73,27.69,0.41,1.47,1.66,0.86,41.59,None,None,453.76,774.77
39.86,58.86,11.93,15.78,36.58,11.31,7.56,0.76,27.56,0.41,1.42,1.62,0.87,41.59,None,None,204.85,774.75
32.33,51.33,12.36,15.61,36.23,11.23,8.37,0.75,27.3,0.4,1.46,1.66,0.87,41.99,None,None,84.22,774.68
30.25,49.25,11.89,16.19,35.92,11.41,7.92,0.73,27.37,0.41,1.44,1.61,0.87,43.43,None,None,53.32,774.43
40.09,59.09,12.1,15.69,37.47,11.26,11.52,0.74,27.64,0.41,1.43,1.65,0.91,47.81,None,None,28.69,774.27
37.13,56.13,12.16,15.67,37.16,11.44,11.54,0.73,27.59,0.43,1.46,1.66,0.89,54.23,None,None,19.94,774.05
44.87,63.87,12.03,16.5,35.99,11.29,9.82,0.73,27.58,0.41,1.46,1.63,0.87,59.4,None,None,24.35,774.6
63.29,82.29,11.96,16.14,35.2,11.35,10.71,0.73,27.67,0.41,1.44,1.7,0.89,62.43,None,None,24.7,774
69.81,88.81,12.2,16.07,35.98,11.19,12.32,0.74,27.33,0.4,1.46,1.68,0.87,67.54,None,None,24.1,774.6
75.34,94.34,12.22,16.2,36.58,11.21,12.61,0.74,27.18,0.41,1.44,1.68,0.85,78.27,None,None,24.54,774.85
74.2,93.2,12.07,15.72,35.6,11.44,12.85,0.73,27.52,0.42,1.45,1.68,0.85,83.62,None,None,25.14,774.9
66.94,85.94,12.23,15.87,36.53,11.27,13.56,0.74,27.47,0.4,1.46,1.73,0.88,86.04,None,None,26.21,775.08
58.76,77.76,11.84,15.91,36.3,11.3,13.25,0.72,27.16,0.41,1.45,1.67,0.85,86.27,None,None,23.87,775.47
65.54,84.54,12.05,16.04,36.34,11.22,11.99,0.75,26.94,0.4,1.43,1.62,0.9,88.32,None,None,24.57,775.3
63.12,82.12,11.94,16.29,37.49,11.41,13.41,0.72,27.35,0.41,1.44,1.67,0.89,89.22,None,None,24.2,775.3
63.43,82.43,12.08,16.61,36.48,11.13,13.71,0.73,27.67,0.41,1.51,1.68,0.86,89.25,None,None,24.41,775.22
63.83,82.83,11.97,15.85,36.39,11.45,11.41,0.73,27.17,0.41,1.44,1.7,0.88,89.25,None,None,24.19,775.2
